,City Name,Country,Cloudiness,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Berdigestyakh,RU,100,94,62.0989,126.6992,-6.72,5.23
1,Guerrero Negro,MX,100,51,27.9769,-114.0611,63.79,2.26
2,San Francisco,US,0,53,37.7749,-122.4194,59.14,1.01
3,Dewas,IN,0,33,22.9667,76.0667,60.94,6.71
4,Ust-Nera,RU,100,91,64.5667,143.2,-17.19,1.95
5,Kapaa,US,0,65,22.0752,-159.319,73.72,0.0
6,Fort Nelson,CA,100,93,58.8053,-122.7002,20.79,4.61
7,Busselton,AU,0,29,-33.65,115.3333,88.09,4.38
8,Castro,BR,100,99,-24.7911,-50.0119,65.1,6.53
9,Punta Arenas,CL,0,87,-53.15,-70.9167,42.91,3.44
10,Normandin,CA,100,78,48.8333,-72.5321,14.31,17.27
11,Fairbanks,US,100,77,64.8378,-147.7164,-6.39,0.0
12,Tasiilaq,GL,76,90,65.6145,-37.6368,12.36,8.21
13,Rundu,NA,100,90,-17.9333,19.7667,66.31,5.32
14,Sinnamary,GF,70,88,5.3833,-52.95,74.79,6.33
15,Ushuaia,AR,97,94,-54.8,-68.3,46.06,3.98
16,Ipswich,GB,87,89,52.0592,1.1555,38.12,3.44
17,Hermanus,ZA,32,78,-34.4187,19.2345,67.89,7.05
18,Cape Town,ZA,20,76,-33.9258,18.4232,68.11,5.75
19,Ternate,ID,66,71,0.8,127.4,83.98,2.64
20,Albany,US,100,59,42.6001,-73.9662,27.09,3.2
21,Saskylakh,RU,66,89,71.9167,114.0833,1.04,11.95
22,Avarua,CK,20,89,-21.2078,-159.775,80.65,12.66
23,Cherskiy,RU,50,98,68.75,161.3,-33.18,2.82
24,Nome,US,0,70,64.5011,-165.4064,-7.83,4.61
25,Mataura,NZ,99,35,-46.1927,168.8643,68.63,4.99
26,Tolaga Bay,NZ,55,59,-38.3667,178.3,63.48,8.99
27,Wanning,CN,14,70,18.8003,110.3967,77.76,11.32
28,Codrington,AU,45,71,-38.2667,141.9667,70.43,14.79
29,Pidhorodna,UA,99,87,48.107,30.8895,27.68,8.19
30,Provideniya,RU,91,95,64.3833,-173.3,-0.83,5.46
31,Thompson,CA,75,77,55.7435,-97.8558,-11.04,5.75
32,Uruçuí,BR,100,94,-7.2294,-44.5561,71.96,4.99
33,Ponta do Sol,PT,68,77,32.6667,-17.1,57.0,1.23
34,Ipameri,BR,60,94,-17.7219,-48.1597,65.05,4.56
35,San Quintín,MX,99,68,30.4833,-115.95,57.99,3.18
36,Richards Bay,ZA,36,69,-28.783,32.0377,82.6,9.04
37,Tezu,IN,62,50,27.9167,96.1667,69.06,4.45
38,Kushima,JP,50,41,31.4583,131.2333,57.24,2.77
39,Hofn,IS,100,94,64.2539,-15.2082,42.48,28.32
40,Zapolyarnyy,RU,100,96,69.4154,30.8136,15.89,3.76
41,Juelsminde,DK,4,72,55.7088,10.0167,38.17,18.9
42,Martapura,ID,40,62,-3.4167,114.85,89.69,10.36
43,Tuktoyaktuk,CA,0,76,69.4541,-133.0374,-22.0,11.5
44,Severo-Kuril'sk,RU,95,72,50.6789,156.125,24.58,36.71
45,Upernavik,GL,100,97,72.7868,-56.1549,-2.27,1.79
46,Chui,UY,98,70,-33.6971,-53.4616,65.66,5.48
47,Coquimbo,CL,0,94,-29.9533,-71.3436,58.73,3.44
48,Igarka,RU,100,92,67.4667,86.5833,0.95,23.35
49,Fare,PF,5,75,-16.7,-151.0167,80.94,17.6
50,Quatre Cocos,MU,0,63,-20.2078,57.7625,84.52,9.84
51,Porto Velho,BR,0,94,-8.7619,-63.9039,75.25,2.3
52,La Peca,PE,95,93,-5.6111,-78.435,67.33,1.12
53,Nikolskoye,RU,100,96,59.7035,30.7861,29.88,6.67
54,Evensk,RU,100,81,61.95,159.2333,19.38,34.63
55,Bullhead City,US,1,17,35.1478,-114.5683,58.86,26.46
56,Port Alfred,ZA,65,70,-33.5906,26.891,72.09,17.58
57,Rikitea,PF,89,74,-23.1203,-134.9692,78.39,18.5
58,Hilo,US,20,85,19.7297,-155.09,71.8,4.61
59,Flin Flon,CA,17,99,54.7682,-101.865,-8.73,5.53
60,Thinadhoo,MV,100,62,0.5333,72.9333,81.41,10.85
61,Linxia Chengguanzhen,CN,100,71,35.6003,103.2064,22.5,2.8
62,Bethel,US,90,63,41.3712,-73.414,29.75,9.22
63,Hithadhoo,MV,98,65,-0.6,73.0833,81.36,12.37
64,Sitka,US,100,75,57.0531,-135.33,42.69,19.57
65,Meulaboh,ID,49,65,4.1363,96.1285,85.95,5.21
66,Faanui,PF,14,75,-16.4833,-151.75,81.0,17.29
67,Hūn,LY,4,64,29.1268,15.9477,41.07,1.3
68,Golden,US,0,72,39.7555,-105.2211,21.13,1.99
69,Morehead,US,100,69,37.2711,-87.1764,33.94,0.0
70,Nanchang,CN,100,91,28.6833,115.8833,39.13,9.82
71,Paamiut,GL,73,71,61.994,-49.6678,5.22,15.08
72,Cairns,AU,75,100,-16.9167,145.7667,82.06,3.44
73,Saint-Philippe,RE,65,81,-21.3585,55.7679,83.75,7.27
74,Rincon,US,0,56,32.296,-81.2354,42.85,4.61
75,Bilma,NE,0,22,18.6853,12.9164,53.2,6.76
76,New Norfolk,AU,100,50,-42.7826,147.0587,76.91,4.0
77,Seoul,KR,0,40,37.5683,126.9778,38.59,12.66
78,Topeka,US,100,75,39.0483,-95.678,33.12,3.0
79,Dikson,RU,100,92,73.5069,80.5464,4.98,23.49
80,Leningradskiy,RU,69,97,69.3833,178.4167,-14.78,3.36
81,Qaanaaq,GL,33,60,77.484,-69.3632,-9.08,11.92
82,Poum,NC,74,76,-20.2333,164.0167,82.69,13.94
83,Geraldton,AU,1,42,-28.7667,114.6,88.21,26.46
84,Siocon,PH,50,75,7.7061,122.1353,83.89,2.84
85,Treinta y Tres,UY,94,68,-33.2333,-54.3833,62.6,3.76
86,Ketchikan,US,100,93,55.3422,-131.6461,42.78,12.66
87,Bluff,NZ,99,66,-46.6,168.3333,63.81,10.45
88,Bredasdorp,ZA,19,56,-34.5322,20.0403,72.72,3.44
89,Launceston,AU,100,89,-41.45,147.1667,71.62,1.99
90,Pevek,RU,28,99,69.7008,170.3133,-24.05,1.86
91,Carballo,ES,0,95,43.213,-8.691,43.68,4.09
92,Butaritari,KI,34,79,3.0707,172.7902,82.11,19.86
93,George Town,MY,20,69,5.4112,100.3354,93.13,10.0
94,Tilichiki,RU,100,80,60.4667,166.1,25.34,30.09
95,Desbiens,CA,100,97,48.4178,-71.9495,15.55,15.46
96,Vaini,TO,100,81,-21.2,-175.2,82.15,17.34
97,Tuatapere,NZ,93,70,-46.1333,167.6833,57.07,1.45
98,Tommot,RU,100,95,58.9564,126.2925,0.19,7.67
99,Wanlaweyn,SO,65,36,2.6185,44.8938,87.13,16.55
100,Broken Hill,AU,40,94,-31.95,141.4333,73.11,26.46
101,College,US,100,75,64.8569,-147.8028,1.06,0.0
102,Sola,VU,100,83,-13.8833,167.55,81.14,20.31
103,Barrow,US,0,76,71.2906,-156.7887,-18.38,10.36
104,Trincomalee,LK,50,71,8.5711,81.2335,81.57,15.23
105,Xiongzhou,CN,31,59,25.1167,114.3,63.05,7.72
106,Adrar,MR,78,19,20.5022,-10.0711,62.85,3.96
107,Khāsh,IR,0,23,28.2211,61.2158,62.67,17.25
108,Carnarvon,AU,0,62,-24.8667,113.6333,86.07,16.11
