,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,New Norfolk,AU,12,44,-42.7826,147.0587,79.88,3.0
1,George Town,MY,20,82,5.4112,100.3354,84.13,5.01
2,Nome,US,82,95,64.5011,-165.4064,9.55,5.32
3,Cape Town,ZA,40,88,-33.9258,18.4232,66.61,6.91
4,Coquimbo,CL,0,88,-29.9533,-71.3436,60.53,3.44
5,Alice Springs,AU,5,43,-23.7,133.8833,99.95,11.5
6,Los Llanos de Aridane,ES,40,77,28.6585,-17.9182,60.55,11.5
7,Fayaoué,NC,100,75,-20.65,166.5333,82.62,8.52
8,Kasongo-Lunda,CD,100,97,-6.4667,16.8167,70.21,0.38
9,Port Alfred,ZA,1,82,-33.5906,26.891,65.89,6.46
10,Zhigansk,RU,97,96,66.7697,123.3711,-15.3,1.83
11,Cherskiy,RU,66,94,68.75,161.3,-7.56,2.68
12,Talnakh,RU,100,98,69.4865,88.3972,-11.72,3.96
13,Saint-Joseph,RE,21,83,-21.3667,55.6167,73.78,8.68
14,Airai,TL,43,66,-8.9266,125.4092,72.0,3.91
15,Yulara,AU,34,28,-25.2406,130.9889,96.64,9.22
16,Kenai,US,100,66,60.5544,-151.2583,35.69,8.05
17,Nanortalik,GL,100,88,60.1432,-45.2371,20.46,18.34
18,Ribeira Grande,PT,77,53,38.5167,-28.7,58.62,5.68
19,Hobart,AU,40,60,-42.8794,147.3294,80.22,18.41
20,Katherine,AU,22,52,-14.4667,132.2667,93.52,8.05
21,Kaitangata,NZ,83,73,-46.2817,169.8464,61.93,6.53
22,Albany,US,98,76,42.6001,-73.9662,28.74,2.75
23,Vestmannaeyjar,IS,100,63,63.4427,-20.2734,41.36,19.91
24,Yellowknife,CA,20,70,62.456,-114.3525,-8.88,2.3
25,General Pico,AR,0,50,-35.6566,-63.7568,66.2,4.47
26,Aginskoye,RU,100,79,51.1,114.53,17.26,6.69
27,Geraldton,AU,0,29,-28.7667,114.6,75.61,20.71
28,Arraial do Cabo,BR,2,88,-22.9661,-42.0278,76.78,20.92
29,Chui,UY,0,82,-33.6971,-53.4616,67.73,6.04
30,Tazovsky,RU,98,100,67.4667,78.7,-23.13,0.83
31,Safi,MA,87,89,32.2994,-9.2372,55.51,9.6
32,Punta Arenas,CL,100,93,-53.15,-70.9167,51.91,9.22
33,Jamestown,US,100,67,42.097,-79.2353,39.29,9.22
34,Ilulissat,GL,74,52,69.2167,-51.1,28.0,16.8
35,Tiksi,RU,91,99,71.6872,128.8694,-20.6,2.68
36,Cairns,AU,44,57,-16.9167,145.7667,99.28,8.05
37,Vaini,TO,75,89,-21.2,-175.2,84.36,8.05
38,Barrow,US,93,100,71.2906,-156.7887,-2.52,4.83
39,Shingū,JP,0,36,33.7333,135.9833,54.59,12.48
40,Pa Sang,TH,33,32,18.5262,98.9394,90.86,0.4
41,Marulanda,CO,99,99,5.2839,-75.2602,50.02,0.22
42,Butaritari,KI,100,82,3.0707,172.7902,80.8,13.91
43,East London,ZA,2,77,-33.0153,27.9116,70.03,4.85
44,College,US,100,75,64.8569,-147.8028,30.52,3.44
45,Saint-Philippe,RE,38,86,-21.3585,55.7679,74.79,8.43
46,Hargeisa,SO,13,69,9.56,44.065,58.03,6.17
47,Campbell River,CA,100,93,50.0163,-125.2446,47.59,4.61
48,Tuktoyaktuk,CA,20,71,69.4541,-133.0374,-0.4,16.11
49,Kavaratti,IN,42,66,10.5669,72.642,82.51,11.61
50,Takanosu,JP,75,81,40.2219,140.3694,41.76,18.41
51,Gouyave,GD,20,83,12.1646,-61.7296,77.77,11.5
52,Rusape,ZW,2,95,-18.5278,32.1284,58.91,2.53
53,Castro,BR,100,97,-24.7911,-50.0119,63.41,3.65
54,Kapaa,US,22,72,22.0752,-159.319,78.78,1.01
55,Ushuaia,AR,75,76,-54.8,-68.3,49.66,5.75
56,Aksu,CN,0,33,41.1231,80.2644,43.0,3.67
57,Atar,MR,0,33,20.5169,-13.0499,68.92,11.34
58,Kaitong,CN,16,75,44.8135,123.15,24.6,11.43
59,Hermanus,ZA,1,91,-34.4187,19.2345,65.89,9.35
60,Christchurch,NZ,100,60,-43.5333,172.6333,71.47,9.22
61,Samarai,PG,79,68,-10.6167,150.6667,85.37,5.44
62,Ancud,CL,84,96,-41.8697,-73.8203,60.33,5.99
63,Rikitea,PF,11,69,-23.1203,-134.9692,80.06,17.56
64,Badin,PK,0,50,24.656,68.8384,67.89,13.71
65,Kisarazu,JP,44,58,35.3747,139.9225,56.21,3.24
66,Narsaq,GL,100,88,60.9167,-46.05,15.87,7.61
67,Hilo,US,21,98,19.7297,-155.09,76.8,3.67
68,Banes,CU,25,75,20.9625,-75.7186,74.75,6.49
69,Egvekinot,RU,4,84,66.3167,-179.1667,9.09,7.61
70,Juneau,US,100,99,58.3019,-134.4197,40.21,1.88
71,Usinsk,RU,98,94,65.9939,57.5281,27.7,21.7
72,Saldanha,ZA,4,92,-33.0117,17.9442,64.45,2.51
73,Jiaxing,CN,94,71,30.7522,120.75,62.62,6.22
74,Pevek,RU,74,98,69.7008,170.3133,-13.76,2.55
75,Sitka,US,97,91,57.0531,-135.33,35.78,3.18
76,Kulhudhuffushi,MV,65,57,6.6221,73.07,82.65,5.91
77,Mataura,NZ,91,40,-46.1927,168.8643,67.48,4.7
78,Whyalla,AU,33,51,-33.0333,137.5833,84.09,6.91
79,Malbork,PL,6,86,54.0359,19.0266,34.12,4.63
80,Tuatapere,NZ,100,56,-46.1333,167.6833,67.82,7.27
81,Cabo San Lucas,MX,1,62,22.8909,-109.9124,70.61,6.89
82,Camacha,PT,75,88,33.0833,-16.3333,60.22,9.22
83,Port Augusta,AU,7,25,-32.5,137.7667,93.7,3.18
84,Lebu,CL,72,95,-37.6167,-73.65,60.24,14.18
85,Sinnamary,GF,100,92,5.3833,-52.95,76.19,8.7
86,Thompson,CA,0,55,55.7435,-97.8558,-2.04,5.75
87,Menongue,AO,89,97,-14.6585,17.691,60.15,3.0
88,Hasaki,JP,94,68,35.7333,140.8333,53.89,5.06
89,Calama,CL,0,63,-22.4667,-68.9333,61.29,13.8
90,Olafsvik,IS,80,76,64.8945,-23.7142,38.97,19.57
91,Nikolskoye,RU,9,97,59.7035,30.7861,30.09,3.8
92,Lompoc,US,0,74,34.6391,-120.4579,65.57,6.91
93,Faya,SA,2,51,18.3851,42.4509,55.51,3.44
94,Provideniya,RU,75,74,64.3833,-173.3,23.11,20.13
95,Kumta,IN,50,32,14.4167,74.4,79.56,6.87
96,Iralaya,HN,0,71,15.0,-83.2333,77.11,11.88
97,Atasū,KZ,58,98,48.6814,71.6433,-1.03,4.65
98,Port Macquarie,AU,22,53,-31.4333,152.9167,84.88,6.2
99,Iquitos,PE,75,100,-3.7481,-73.2472,73.44,0.0
100,Buerarema,BR,100,95,-14.9594,-39.2997,82.99,1.59
101,Ostrovnoy,RU,100,97,68.0531,39.5131,27.21,6.6
102,Gao,ML,51,28,16.6362,1.637,77.92,9.24
103,Rocha,UY,0,77,-34.4833,-54.3333,64.65,7.0
104,Nosy Varika,MG,57,92,-20.5833,48.5333,75.47,3.49
105,Krasnokamensk,RU,100,65,50.0979,118.0369,13.42,4.68
106,Arrondissement de Rennes,FR,100,93,48.1667,-1.6667,50.18,8.05
107,Palora,EC,100,93,-1.7,-77.9333,66.63,1.3
108,Carnarvon,AU,0,38,-24.8667,113.6333,78.87,19.57
109,Bambous Virieux,MU,75,100,-20.3428,57.7575,78.22,13.8
110,Dubuque,US,100,66,42.4833,-90.8668,37.54,13.13
111,Dauphin,CA,0,65,51.1494,-100.0502,-5.66,10.36
112,Innisfail,AU,44,61,-17.5333,146.0333,99.21,9.75
113,Bredasdorp,ZA,0,77,-34.5322,20.0403,64.27,4.61
114,Wodonga,AU,0,73,-36.1167,146.8833,87.28,11.5
115,Atuona,PF,13,80,-9.8,-139.0333,78.53,20.13
116,Moindou,NC,100,70,-21.6924,165.677,87.75,8.72
117,Raja,SS,6,54,8.4596,25.678,74.8,3.6
118,Nioro,GM,83,25,13.35,-15.75,74.86,7.54
119,Najrān,SA,1,37,17.4924,44.1277,59.65,2.21
120,Mehamn,NO,100,83,71.0357,27.8492,30.61,35.46
121,Fare,PF,17,72,-16.7,-151.0167,82.04,15.75
122,Longyearbyen,SJ,100,85,78.2186,15.6401,12.04,12.66
123,Dikson,RU,100,96,73.5069,80.5464,-14.13,8.55
124,Flin Flon,CA,7,94,54.7682,-101.865,-2.2,7.49
125,Peleduy,RU,100,92,59.6289,112.7406,19.81,8.88
126,Freetown,SL,100,78,8.484,-13.2299,74.8,4.14
127,Pangkalanbuun,ID,100,51,-2.6833,111.6167,89.87,4.7
128,Grand-Santi,GF,92,99,4.25,-54.3833,72.27,2.19
129,Hofn,IS,100,80,64.2539,-15.2082,39.47,4.79
130,Sirte,LY,79,53,31.2089,16.5887,56.25,10.45
131,Candolim,IN,100,30,15.5181,73.7626,82.4,12.66
132,Khatanga,RU,100,92,71.9667,102.5,-8.82,6.67
133,Sangar,RU,57,92,63.9242,127.4739,-6.12,4.16
134,Tateyama,JP,11,65,34.9833,139.8667,56.14,3.4
135,Saskylakh,RU,28,98,71.9167,114.0833,-26.48,3.47
136,Cayenne,GF,75,90,4.9333,-52.3333,78.1,5.01
137,kimparana,ML,96,22,12.8347,-4.9244,84.31,0.69
138,Busselton,AU,49,42,-33.65,115.3333,71.04,5.77
